count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
82099,2018,3,Scotland,3,"Glasgow City",A8,Major,"Commerce Street","Tradeston Street",258500,664639,55.85412000,-4.26201380,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",24,9,3329,657,380,49,5,0,3,5,5,66,4441
82100,2018,3,Scotland,3,"Glasgow City",A8,Major,"Bridge Street","Commerce Street",258663,664601,55.85382700,-4.25939240,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",21,12,3138,334,375,40,13,0,1,4,1,59,3918
83055,2018,3,Scotland,3,"Glasgow City",A728,Major,"B768 Prospecthill Road","A728 Polmadie Road",259285,661905,55.82980400,-4.24806680,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",119,117,20788,333,3304,351,135,99,29,22,17,654,25196
82019,2018,3,Scotland,3,"Glasgow City",M74,Major,A8,"Seaward Street",258016,664319,55.85110500,-4.26957130,1.30,0.81,Counted,"Automatic counter",0,220,51194,488,10130,2055,454,453,310,1815,3692,8779,70811
80504,2018,3,Scotland,3,"Glasgow City",M80,Major,1,2,263000,667500,55.88110700,-4.19163380,3.00,1.86,Counted,"Automatic counter",0,249,55795,918,8878,2040,321,553,260,805,810,4788,70629
83056,2018,3,Scotland,3,"Glasgow City",A728,Major,"A728 Polmadie Road","A730 Caledonia Road",258970,663052,55.84001000,-4.25368720,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",97,58,9377,186,1244,105,15,8,8,2,2,140,11005
74364,2018,3,Scotland,3,"Glasgow City",A803,Major,B808,"LA boundary",260420,668500,55.88934400,-4.23335820,1.20,0.75,Counted,"Manual count",116,73,15886,141,1713,204,33,29,11,42,27,346,18160
82024,2018,3,Scotland,3,"Glasgow City",M74,Major,A74,M74,263956,662403,55.83561500,-4.17380570,0.40,0.25,Counted,"Automatic counter",0,26,6089,58,1205,244,54,54,37,216,439,1044,8423
40910,2018,3,Scotland,3,"Glasgow City",A749,Major,A74,A8,260000,664580,55.85402800,-4.23804170,1.40,0.87,Counted,"Manual count",72,27,5820,250,797,57,15,8,1,3,0,84,6978
82091,2018,3,Scotland,3,"Glasgow City",A77,Major,"Norfolk Street","Oxford Street",258703,664535,55.85324600,-4.25871960,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",308,52,3533,350,492,21,7,2,3,2,3,39,4466
81004,2018,3,Scotland,3,"Glasgow City",A77,Major,A77,A77,258370,663330,55.84233000,-4.26340530,1.60,0.99,Estimated,"Estimated using previous year's AADF on this link",201,83,15483,850,2557,196,19,16,6,7,19,263,19236
50952,2018,3,Scotland,3,"Glasgow City",A814,Major,A804,"A814 Stobcross St",257600,665000,55.85709600,-4.27656810,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",332,40,10708,220,2086,281,42,29,7,12,15,385,13440
82017,2018,3,Scotland,3,"Glasgow City",M74,Major,A730/B763,A730/B763,259851,662738,55.83744700,-4.23946840,0.90,0.56,Counted,"Automatic counter",0,224,52113,496,10312,2091,462,461,316,1848,3759,8937,72082
82042,2018,3,Scotland,3,"Glasgow City",M8,Major,"Seaward Street",A8,257833,664467,55.85238000,-4.27256950,1.00,0.62,Counted,"Automatic counter",0,16,3912,20,815,145,29,32,22,106,213,546,5309
83053,2018,3,Scotland,3,"Glasgow City",A8,Major,A761,M8,256997,664521,55.85261700,-4.28594040,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",244,47,8612,572,1489,129,31,7,4,7,8,185,10905
82010,2018,3,Scotland,3,"Glasgow City",M74,Major,A763,A74,264707,662311,55.83500000,-4.16177820,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",0,215,50143,478,9922,2012,444,444,304,1778,3617,8599,69357
50808,2018,3,Scotland,3,"Glasgow City",M8,Major,10,9,267300,665400,55.86345600,-4.12191960,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",0,196,70275,803,14606,3741,585,874,330,1454,1327,8311,94191
82035,2018,3,Scotland,3,"Glasgow City",M74,Major,M74,A8,258250,664245,55.85050900,-4.26579810,0.50,0.31,Counted,"Automatic counter",0,40,9327,89,1846,374,83,83,57,331,673,1599,12901
82016,2018,3,Scotland,3,"Glasgow City",M74,Major,A724,A730/B763,260176,662450,55.83495600,-4.23413490,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",0,223,54642,246,10476,2019,354,409,406,2451,2911,8550,74137
80505,2018,3,Scotland,3,"Glasgow City",M80,Major,2,"LA Boundary",264300,668810,55.89323700,-4.17152610,1.20,0.75,Counted,"Automatic counter",0,164,55655,665,8818,907,155,550,99,1053,338,3102,68404
82043,2018,3,Scotland,3,"Glasgow City",M8,Major,"Seaward Street",A8,257875,664322,55.85109000,-4.27182320,0.90,0.56,Counted,"Automatic counter",0,17,3982,20,830,147,30,33,22,108,216,556,5404
50979,2018,3,Scotland,3,"Glasgow City",A736,Major,A761,"LA boundary",252100,665000,55.85544000,-4.36435410,1.70,1.06,Counted,"Manual count",39,66,14738,147,2054,108,30,34,25,26,23,246,17252
80441,2018,3,Scotland,3,"Glasgow City",A814,Major,"M8 Slips",A804,257910,665290,55.85979100,-4.27177190,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",2,96,23308,371,5070,467,104,326,35,30,282,1243,30089
77084,2018,3,Scotland,3,"Glasgow City",A804,Major,M8,A814,257985,665205,55.85905000,-4.27053010,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",56,55,6911,24,1362,215,47,20,3,6,16,307,8659
