count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
74429,3,Scotland,3,"Glasgow City",M77,Major,3,2,253920,660080,55.81182600,-4.33265890,2.30,1.43
74428,3,Scotland,3,"Glasgow City",A726,Major,A736,M77,252940,659650,55.80766800,-4.34805010,2.70,1.68
74427,3,Scotland,3,"Glasgow City",A726,Major,"LA boundary",A736,251250,661120,55.82034700,-4.37579400,0.90,0.56
74426,3,Scotland,3,"Glasgow City",A761,Major,"LA boundary",A736,251940,663880,55.84533600,-4.36629630,0.20,0.12
74425,3,Scotland,3,"Glasgow City",A814,Major,"LA boundary",A714,251000,668940,55.89047100,-4.38407760,0.70,0.43
74423,3,Scotland,3,"Glasgow City",M73,Major,"LA boundary","LA Boundary",269890,667200,55.88032400,-4.08143100,0.70,0.43
74422,3,Scotland,3,"Glasgow City",M73,Major,2,"LA boundary",269625,665005,55.86054400,-4.08460750,1.80,1.12
74418,3,Scotland,3,"Glasgow City",M73,Major,"LA boundary",2,269080,663400,55.84598500,-4.09253360,1.10,0.68
74416,3,Scotland,3,"Glasgow City",A74,Major,"LA Boundary","M74 jn3",267990,662330,55.83608000,-4.10940860,0.50,0.31
74414,3,Scotland,3,"Glasgow City",A741,Major,Ferry,A814,251250,668560,55.88713700,-4.37987510,0.30,0.19
74380,3,Scotland,3,"Glasgow City",M77,Major,"LA boundary",3,253500,658290,55.79562900,-4.33839080,1.20,0.75
74379,3,Scotland,3,"Glasgow City",A727,Major,M77,"LA boundary",254000,659020,55.80233400,-4.33081440,1.00,0.62
74368,3,Scotland,3,"Glasgow City",A81,Major,B808,"LA boundary",256290,669500,55.89710600,-4.29986630,3.30,2.05
74364,3,Scotland,3,"Glasgow City",A803,Major,B808,"LA boundary",260420,668500,55.88934400,-4.23335820,1.20,0.75
50983,3,Scotland,3,"Glasgow City",A730,Major,"LA Boundary",A728,260000,663120,55.84092175,-4.23728834,1.70,1.06
50979,3,Scotland,3,"Glasgow City",A736,Major,A761,"LA boundary",252100,665000,55.85544000,-4.36435410,1.70,1.06
50978,3,Scotland,3,"Glasgow City",A761,Major,A739,A736,252997,663881,55.84566900,-4.34943110,1.30,0.81
50976,3,Scotland,3,"Glasgow City",A739,Major,A82,"LA boundary",254700,669000,55.89214000,-4.32500240,1.40,0.87
50974,3,Scotland,3,"Glasgow City",A739,Major,A8,A814,254200,666400,55.86864800,-4.33159000,2.10,1.30
50952,3,Scotland,3,"Glasgow City",A814,Major,A804,"A814 Stobcross St",257600,665000,55.85709600,-4.27656810,1.00,0.62
50950,3,Scotland,3,"Glasgow City",A814,Major,"A8 Gorbals St","A8 Saltmarket",259300,664600,55.85400400,-4.24922480,0.30,0.19
50850,3,Scotland,3,"Glasgow City",A89,Major,"B763 Millerston Street","B765 Killin St",263000,664420,55.85345510,-4.19007642,3.50,2.17
50828,3,Scotland,3,"Glasgow City",A82,Major,A804,A739,257200,667130,55.87610000,-4.28407540,4.10,2.55
50810,3,Scotland,3,"Glasgow City",M8,Major,20,19,258000,664700,55.85452206,-4.27002625,0.70,0.43
50808,3,Scotland,3,"Glasgow City",M8,Major,10,9,267300,665430,55.86372500,-4.12193430,1.40,0.87
50802,3,Scotland,3,"Glasgow City",A77,Major,A8,A814,258740,664700,55.85473947,-4.25821508,0.40,0.25
50795,3,Scotland,3,"Glasgow City",A74,Major,A749,A8,260060,663730,55.84641400,-4.23664550,1.60,0.99
50733,3,Scotland,3,"Glasgow City",A8,Major,"A803 Castle St",A80,262000,665500,55.86286500,-4.20658740,2.30,1.43
50728,3,Scotland,3,"Glasgow City",A8,Major,A74/A728,A814,259400,664400,55.85223800,-4.24752500,0.40,0.25
50724,3,Scotland,3,"Glasgow City",A8,Major,A761,"A8 Morrison St",257000,664500,55.85243091,-4.28588157,2.00,1.24
50721,3,Scotland,3,"Glasgow City",M8,Major,M73,"LA boundary",269480,664035,55.85179500,-4.08645540,0.40,0.25
40925,3,Scotland,3,"Glasgow City",A814,Major,"A77 Commerce St","A77 Bridge St",258700,664900,55.85652200,-4.25895770,0.20,0.12
40924,3,Scotland,3,"Glasgow City",A814,Major,A739,"A814 Finnieston St",255000,666500,55.86978700,-4.31887060,3.50,2.17
40919,3,Scotland,3,"Glasgow City",A804,Major,M8/A879,A803,259700,666200,55.86848500,-4.24366860,1.40,0.87
40918,3,Scotland,3,"Glasgow City",A803,Major,A804,"B808 Springburn Road",260400,667300,55.87856500,-4.23305870,1.90,1.18
40910,3,Scotland,3,"Glasgow City",A749,Major,A74,A8,260000,664580,55.85402800,-4.23804170,1.40,0.87
40902,3,Scotland,3,"Glasgow City",A728,Major,"B768 Prospecthill Road",A730,259000,663000,55.83955308,-4.25318157,2.20,1.37
40850,3,Scotland,3,"Glasgow City",A89,Major,A8,M73,268750,664240,55.85343700,-4.09820670,1.20,0.75
40818,3,Scotland,3,"Glasgow City",A8,Major,A89,M8/M73,268700,664140,55.85252600,-4.09895640,1.30,0.81
40817,3,Scotland,3,"Glasgow City",A8,Major,A730,A74/A728,259200,664300,55.85128100,-4.25066510,0.30,0.19
40816,3,Scotland,3,"Glasgow City",A8,Major,A739,B768,253800,665000,55.85595800,-4.33722120,1.80,1.12
40811,3,Scotland,3,"Glasgow City",M8,Major,24,23,255340,664220,55.84942000,-4.31222520,0.90,0.56
40810,3,Scotland,3,"Glasgow City",M8,Major,18,17,257950,666000,55.86617700,-4.27150550,1.10,0.68
