,RecTime,measurementSiteReference,basicDataValue.vehicleFlow
832,2021-12-02T20:21:08,GA4751_D,10
834,2021-12-02T20:21:08,GA4751_C,9
836,2021-12-02T20:21:08,GA4751_B,16
838,2021-12-02T20:21:08,GG1601_T,4
840,2021-12-02T20:21:08,GG1601_S,9
842,2021-12-02T20:21:08,GA2451_T,26
844,2021-12-02T20:21:08,GB0151_G,7
846,2021-12-02T20:21:08,GB0151_F,4
848,2021-12-02T20:21:08,GB0151_E,16
850,2021-12-02T20:21:08,GB0151_C,14
852,2021-12-02T20:21:08,GB0151_B,25
854,2021-12-02T20:21:08,GC180A_B,28
856,2021-12-02T20:21:08,GC180A_A,9
858,2021-12-02T20:21:08,GA0151_Z,0
860,2021-12-02T20:21:08,GA0151_V,0
862,2021-12-02T20:21:08,GJ2301_V,0
864,2021-12-02T20:21:08,GJ2301_T,0
866,2021-12-02T20:21:08,GJ2301_S,0
868,2021-12-02T20:21:08,GA058A_C,9
870,2021-12-02T20:21:08,GK0851_Z,0
872,2021-12-02T20:21:08,GA058A_B,18
874,2021-12-02T20:21:08,GK0851_X,0
876,2021-12-02T20:21:08,GK0851_V,11
878,2021-12-02T20:21:08,GA0151_D,14
880,2021-12-02T20:21:08,GA0151_C,41
882,2021-12-02T20:21:08,GK4501_B,20
884,2021-12-02T20:21:08,GK0851_S,4
886,2021-12-02T20:21:08,GK4501_A,10
888,2021-12-02T20:21:08,GK0851_R,17
890,2021-12-02T20:21:08,GA0151_A,8
892,2021-12-02T20:21:08,GA5551_D,9
894,2021-12-02T20:21:08,GG240A_B,13
896,2021-12-02T20:21:08,GG240A_A,14
898,2021-12-02T20:21:08,GD217A_B,22
900,2021-12-02T20:21:08,GD217A_A,22
902,2021-12-02T20:21:08,GH4601_H,0
904,2021-12-02T20:21:08,GH4601_F,0
906,2021-12-02T20:21:08,GA3251_A,0
908,2021-12-02T20:21:08,GJ3101_T,15
910,2021-12-02T20:21:08,GJ3101_S,4
912,2021-12-02T20:21:08,GJ3101_R,4
914,2021-12-02T20:21:08,GL3001_D,6
916,2021-12-02T20:21:08,GC0301_T,24
918,2021-12-02T20:21:08,GC0301_S,7
920,2021-12-02T20:21:08,GC0301_R,0
922,2021-12-02T20:21:08,GA4901_V,6
924,2021-12-02T20:21:08,GA4901_S,15
926,2021-12-02T20:21:08,GA4901_R,21
928,2021-12-02T20:21:08,GD0201_V,8
930,2021-12-02T20:21:08,GD0201_S,21
932,2021-12-02T20:21:08,GD0201_R,30
934,2021-12-02T20:21:08,GC1621_F,14
936,2021-12-02T20:21:08,GC1621_B,12
938,2021-12-02T20:21:08,GC1621_A,9
940,2021-12-02T20:21:08,GB0301_D,3
942,2021-12-02T20:21:08,GH3101_V,6
944,2021-12-02T20:21:08,GH3101_T,15
946,2021-12-02T20:21:08,GJ2551_S,0
948,2021-12-02T20:21:08,GB0301_A,33
950,2021-12-02T20:21:08,GH3101_S,3
952,2021-12-02T20:21:08,GJ2551_R,0
954,2021-12-02T20:21:08,GH3101_R,1
956,2021-12-02T20:21:08,GA2601_D,0
958,2021-12-02T20:21:08,GA2601_A,0
960,2021-12-02T20:21:08,GA0301_X,0
962,2021-12-02T20:21:08,GA0301_W,0
964,2021-12-02T20:21:08,GA0301_T,0
966,2021-12-02T20:21:08,GA5371_F,9
968,2021-12-02T20:21:08,GA0301_R,0
970,2021-12-02T20:21:08,GA5371_D,13
972,2021-12-02T20:21:08,GA0301_P,0
974,2021-12-02T20:21:08,GA5371_C,43
976,2021-12-02T20:21:08,GJ025A_C,25
978,2021-12-02T20:21:08,GA5371_A,7
980,2021-12-02T20:21:08,GK015A_T,23
982,2021-12-02T20:21:08,GC242A_S,0
984,2021-12-02T20:21:08,GC242A_R,0
986,2021-12-02T20:21:08,GA5701_V,0
988,2021-12-02T20:21:08,GA5701_S,0
990,2021-12-02T20:21:08,GA5701_R,0
992,2021-12-02T20:21:08,GD1001_T,32
994,2021-12-02T20:21:08,GD1001_S,17
996,2021-12-02T20:21:08,GD1001_R,9
998,2021-12-02T20:21:08,GG0351_Z,0
1000,2021-12-02T20:21:08,GC012A_M,0
1002,2021-12-02T20:21:08,GI0251_D,16
1004,2021-12-02T20:21:08,GJ3351_V,6
1006,2021-12-02T20:21:08,GH025A_S,12
1008,2021-12-02T20:21:08,GH025A_R,0
1010,2021-12-02T20:21:08,GI0251_B,10
1012,2021-12-02T20:21:08,GB1101_C,5
1014,2021-12-02T20:21:08,GJ3351_T,11
1016,2021-12-02T20:21:08,GB1101_B,5
1018,2021-12-02T20:21:08,GJ3351_S,5
1020,2021-12-02T20:21:08,GB1101_A,14
1022,2021-12-02T20:21:08,GJ3351_R,15
1024,2021-12-02T20:21:08,GD0971_D,20
1026,2021-12-02T20:21:08,GD0971_C,10
1028,2021-12-02T20:21:08,GD0971_B,12
1030,2021-12-02T20:21:08,GG0351_H,0
1032,2021-12-02T20:21:08,GG0351_D,18
1034,2021-12-02T20:21:08,GG0351_B,16
1036,2021-12-02T20:21:08,GA4721_V,9
1038,2021-12-02T20:21:08,GJ0161_Q,13
1040,2021-12-02T20:21:08,GJ0161_P,11
1042,2021-12-02T20:21:08,GA4721_T,12
1044,2021-12-02T20:21:08,GA4721_S,4
1046,2021-12-02T20:21:08,GJ0161_N,6
1048,2021-12-02T20:21:08,GJ0161_M,29
1050,2021-12-02T20:21:08,GJ0161_L,4
1052,2021-12-02T20:21:08,GI1571_D,5
1054,2021-12-02T20:21:08,GI1571_C,7
1056,2021-12-02T20:21:08,GI1571_A,31
1058,2021-12-02T20:21:08,GD0451_V,3
1060,2021-12-02T20:21:08,GD0451_T,16
1062,2021-12-02T20:21:08,GD0451_S,17
1064,2021-12-02T20:21:08,GD0451_R,15
1066,2021-12-02T20:21:08,GA2421_W,24
1068,2021-12-02T20:21:08,GH335A_S,17
1070,2021-12-02T20:21:08,GH335A_R,12
1072,2021-12-02T20:21:08,GB0551_T,0
1074,2021-12-02T20:21:08,GB0121_D,11
1076,2021-12-02T20:21:08,GC4101_Y,9
1078,2021-12-02T20:21:08,GB0121_B,65
1080,2021-12-02T20:21:08,GC4101_V,12
1082,2021-12-02T20:21:08,GC2331_D,4
1084,2021-12-02T20:21:08,GC2331_C,9
1086,2021-12-02T20:21:08,GC2331_B,13
1088,2021-12-02T20:21:08,GC4101_S,8
1090,2021-12-02T20:21:08,GC2331_A,13
1092,2021-12-02T20:21:08,GJ0071_T,47
1094,2021-12-02T20:21:08,GJ0071_R,13
1096,2021-12-02T20:21:08,GJ2701_X,0
1098,2021-12-02T20:21:08,GJ0071_N,16
1100,2021-12-02T20:21:08,GJ2701_T,11
1102,2021-12-02T20:21:08,GJ2701_S,9
1104,2021-12-02T20:21:08,GH1051_E,14
1106,2021-12-02T20:21:08,GC1351_D,1
1108,2021-12-02T20:21:08,GH1051_D,2
1110,2021-12-02T20:21:08,GC1351_C,1
1112,2021-12-02T20:21:08,GH1051_C,4
1114,2021-12-02T20:21:08,GC1351_B,15
1116,2021-12-02T20:21:08,GH1051_B,16
1118,2021-12-02T20:21:08,GC1351_A,18
1120,2021-12-02T20:21:08,GH1051_A,7
1122,2021-12-02T20:21:08,GG280A_S,9
1124,2021-12-02T20:21:08,GG280A_R,7
1126,2021-12-02T20:21:08,GG0171_T,18
1128,2021-12-02T20:21:08,GG0171_S,16
1130,2021-12-02T20:21:08,GG0171_R,20
1132,2021-12-02T20:21:08,GA3221_D,18
1134,2021-12-02T20:21:08,GA3221_B,18
1136,2021-12-02T20:21:08,GB1351_F,0
1138,2021-12-02T20:21:08,GB1351_D,13
1140,2021-12-02T20:21:08,GB1351_C,11
